,Beer,Brewery
0,10 Lords-A-Leaping 10.5 abv,"The Bruery (Placentia, CA) | Belgian Strong Dark Ale"
5,312 Urban Wheat Ale 4.2 abv,"Goose Island Beer Co. (Chicago, IL) | Pale Wheat Ale - American"
6,All Day IPA 4.7 abv,"Founders Brewing Co. (Grand Rapids, MI) | IPA - Session / India Session Ale"
7,Alpha Klaus 6 abv,"3 Floyds Brewing Company (Munster, IN) | Porter - American"
8,Anti-Hero 6.7 abv,"Revolution Brewing Company (Chicago, IL) | IPA - American"
9,Barrel Aged Neapolitan Milk Stout 10.5 abv,"Saugatuck Brewing Company (Douglas, MI) | Stout - Milk / Sweet"
10,Belgian White 5.4 abv,"Blue Moon Brewing Company (Denver, CO) | Witbier"
11,Benthic 14 abv,"Half Acre Beer Company (Chicago, IL) | Stout - Imperial / Double"
12,Berliner Weisse Cranberry-Quince 4.1 abv,"North Coast Brewing Company (Fort Bragg, CA) | Sour - Berliner Weisse"
13,Big Bad Baptista 11.7 abv,"Epic Brewing Co. (Utah, Colorado) (Salt Lake City, UT) | Stout - American Imperial / Double"
14,Black Chocolate Stout 10 abv,"Brooklyn Brewery (Brooklyn, NY) | Stout - Russian Imperial"
15,Breakfast Stout 8.3 abv,"Founders Brewing Co. (Grand Rapids, MI) | Stout - Oatmeal"
16,Brown Shugga' 10 abv,"Lagunitas Brewing Company (Petaluma, CA) | Strong Ale - American"
17,Bud Light 4.2 abv,"Anheuser-Busch (St. Louis, MO) | Lager - American Light"
18,Christmas Ale 7.5 abv,"Great Lakes Brewing Company (Cleveland, OH) | Winter Ale"
19,Coors Light 4.2 abv,"Coors Brewing Company (Golden, CO) | Lager - American Light"
20,Crisp Apple 5 abv,"Angry Orchard Cider Company (Walden, NY) | Cider - Sweet"
21,Dale's Pale Ale 6.5 abv,"Oskar Blues Brewery (Longmont, CO) | Pale Ale - American"
22,Delirium Noël / Christmas 10 abv,"Huyghe Brewery (Melle, Oost-Vlaanderen) | Winter Ale"
23,Delirium Red 8 abv,"Huyghe Brewery (Melle, Oost-Vlaanderen) | Fruit Beer"
24,Fairy Basslet 9.5 abv,"Pipeworks Brewing Company (Chicago, IL) | IPA - Imperial / Double"
25,Firestone Lager 4.5 abv,"Firestone Walker Brewing Company (Paso Robles, CA) | Lager - Helles"
26,Foggy Geezer 6.8 abv,WarPigs Brewpub (Copenhagen) | IPA - New England
27,Fun Size 6.1 abv,"Pollyanna Brewing Company (Lemont, IL) | Stout - Milk / Sweet"
28,Guinness Draught 4.2 abv,"Guinness (St. James's Gate, Dublin) | Stout - Irish Dry"
29,Harp Premium Lager 4.5 abv,"Guinness (St. James's Gate, Dublin) | Lager - Euro"
30,Heineken 5 abv,"Heineken (Zoeterwoude, Zuid Holland) | Lager - Euro"
31,Hofbräu Münchner Weisse / Münchner Kindl / Hefe Weizen 5.1 abv,Staatliches Hofbräuhaus München (München) | Hefeweizen
32,Kidnapped by Vikings 6 abv,"Solemn Oath Brewery (Naperville, IL) | IPA - American"
33,Krombacher Dark 4.7 abv,"Krombacher Gruppe (Kreuztal, Nordrhein-Westfalen) | Schwarzbier"
34,Mad Cow 7.9 abv,"Revolution Brewing Company (Chicago, IL) | Stout - Milk / Sweet"
35,Miller Lite 4.2 abv,"Miller Brewing Company (Milwaukee, WI) | Lager - American Light"
36,Modelo Especial 4.5 abv,"Grupo Modelo (Mexico City, Distrito Federal) | Lager - North American Adjunct"
37,Movembeer 2018 9 abv,"Pollyanna Brewing Company (Lemont, IL) | Stout - Imperial Oatmeal"
38,Nitro Chocolate Camaro 6 abv,"Half Acre Beer Company (Chicago, IL) | Stout - Milk / Sweet"
39,Ohio City Oatmeal Stout 5.4 abv,"Great Lakes Brewing Company (Cleveland, OH) | Stout - Oatmeal"
40,Parka Porter 5.3 abv,"Goose Island Beer Co. (Chicago, IL) | Porter - American"
41,Permanent Funeral 10.5 abv,"3 Floyds Brewing Company (Munster, IN) | IPA - Imperial / Double"
42,Pseudo Sue 6.8 abv,"Toppling Goliath Brewing Co. (Decorah, IA) | Pale Ale - American"
43,Sam ‘76 4.7 abv,"Boston Beer Company (Boston, MA) | Lager - American Light"
44,Samuel Adams Boston Lager 5 abv,"Boston Beer Company (Boston, MA) | Lager - Vienna"
45,Samuel Adams Winter Lager 5.6 abv,"Boston Beer Company (Boston, MA) | Lager - Winter"
46,Smithwick's 4.5 abv,"Guinness (St. James's Gate, Dublin) | Red Ale - Irish"
47,Sosus 7.8 abv,"Toppling Goliath Brewing Co. (Decorah, IA) | IPA - Imperial / Double"
48,Stella Artois 5 abv,"Stella Artois (Leuven, Vlaams-Brabant) | Lager - Euro"
49,Thai Speedway Stout 12 abv,"AleSmith Brewing Company (San Diego, CA) | Stout - American Imperial / Double"
50,Tooth And Claw 5 abv,"Off Color Brewing (Chicago, IL) | Lager - Pale"
51,White 5.2 abv,"Allagash Brewing Company (Portland, ME) | Witbier"
52,Zombie Dust 6.2 abv,"3 Floyds Brewing Company (Munster, IN) | Pale Ale - American"
